Q9VUR1	Q92759
Q7K115	Q8IVI9
Q9VC03	Q9HAN9
A1ZBM4	Q96M98
Q9VVI2	Q96F86
B1Q249	Q9P2G1
Q9VX77	Q9Y6H1
Q9W1L7	P50226
P30189	Q969P6
Q9W246	O75691
Q7JW12	Q9Y320
Q7JWP9	Q9BZR6
G5EF15	Q07352
Q9VP13	Q8TAE8
Q23989	P40121
Q8MLL3	Q9H8M1
Q9ERU9	Q9U2S6	Q6UX04
Q9CXF4	B7FAS5	O60343
Q9VI55	O94874
Q64028	Q9NF31	J3KQH6
Q9VV41	Q9NPF4
Q7JXV9	Q9BRG1
Q9VJZ2	Q9UKL6
Q9VCI0	Q9Y3B8
Q9VHN9	O15040
Q4QPU3	A0A0C4DH14
Q8BT07	Q53EZ4
Q8QZS3	Q9VS33
Q9VNW6	P54886
Q95T33	Q9UHI5
A1Z9A2	Q9NWV4
O17066	O95149
Q9BKZ8	F1D8P7
Q86LC4	Q8NHV4
O01739	Q99489
Q24174-2	A8K251
Q9Y283	Q9W2J2	Q9XVN3
Q9VS85	I6L9I8
P28301	Q08397
Q9N5K2	P19388
Q7JUF8	Q9BV94
Q9VE85	Q8NFH3
P17704	P08708
Q8I4C7	Q9VIF2	Q8IV08
Q9VRY4	Q9P0U3
P17336	Q8MYL7
Q76NR0	Q01433
Q9VB28	Q9H095
A0A126GUP6	P14210
Q9VQ94	O94855
O08603	Q9BZM5
Q9VGS3	Q99643
Q9VEM6	O60235
Q9VDV4	A1A5B4
O18363	Q6ZVD7
P34400	Q70E73
Q9VC58	O76413	Q9P2W9
Q24152	Q95XM4
Q6P5D4	Q9BZW7
Q9VI16	P43155
Q9VL70	Q9BWD1
Q967D7	P54296
Q9VLQ0	O43556
Q9I7R7	Q9BQ61
Q99NB9	Q9VPR5	O75533
Q18033	Q8SX83	Q8NI27
Q9VUJ1	Q5JNW7
Q9UI12	Q9V3J1	Q22494
O44760	Q6P4E2
Q9W237	P62249
Q9VAB0	O95147
Q9VCL7	A0A140LJL1
Q21882	P02766
Q9BMQ0	Q9ESU6	Q09477	Q9P1Y6
Q9BN17	O43699
Q95RC0	Q9GZZ1
Q9VLS5	Q9H1K0
Q9W1H4	P49916
Q9VMY3	H2KZA6
Q9W5N0	Q96BR5
Q965M4	Q7K0T0	A0A087WYA8
Q21703	P11766
Q8IP51	Q5XG79
Q21192	Q9VJ00
Q18100	Q9W213	Q8WZ75
Q8IPJ4	P19634
Q03385	Q9Y4G8
A1Z9J8	Q9BR01
Q6P1G0	Q6AI08
Q18809	O75132
Q9BVQ7	Q9W414	G5EDB6
Q9VDC3	Q9Y587
Q7K501	Q15291
Q7KUN6	Q9XVZ8	P60002
Q19804	Q9XZ11	Q92802
Q9W229	P62847
Q8R4B8	Q96P20
A5PKW4	Q23980
Q7KMH5	P34318
Q9VEX0	P15586
O95299	P91929	Q21233
Q7K0A0	Q9Y6G3
Q8BP00	Q15051
O76216	Q92831
P43248	P43246
Q8INW7	P48742
P90731	P53396
Q9VXD4	Q8IYB1
Q9VPY9	O60884
Q9W1M9	Q13868
Q9VMM8	Q23119
A1Z7Q1	Q9Y6X2
Q7JZN2	Q6IC98
Q9I7I1	P04070
Q9VUR3	Q13155
Q9W2B3	Q18000
P28658	Q9UBB4
Q9JJK2	Q9Y0Y7	Q9NS86
Q9W335	P43307
Q13185	P83917
Q9U3T4	Q9H611
Q9VMD4	Q96PM5
Q9VR53	Q93758	P61962
P02535	Q19289	P08729
Q60664	Q12912
Q9VDK7	O76094
Q8SWV9	Q14839
P35421	O15067
Q8TDQ7	Q9VMP9	Q9XVJ2
Q91YQ5	P04843
Q9W1T0	P78406
O88987	O75969
Q9W5W8	Q86YB7
Q9VA79	O94941
O43660	Q9V3J8	Q20168
Q8N9Q2	Q9W3Z5	O01489
Q9VF89	Q9BYD2
Q9W0P2	Q9UNA4
Q9VTB8	O75925
Q9VXE9	O95347
P54631	Q96S42
Q9QZ06	Q9H0E2
P34470	P68431
Q9VVA0	Q9Y2V2
O17933	Q5STP9
Q86PE8	O60259
Q7K4B6	Q6ZXV5
Q8WTV0	O35114	Q9VDD3
Q9VZ73	A4D1L5
Q9VYG1	Q16401
Q9VM92	Q6ZVT0
Q9VBQ2	Q9Y5X9
Q95XA8	Q6UUV9
Q9VZE6	Q8TDN6
O61674	Q9NQS3
Q9V7S5-2	Q9U3A4
Q9VK62	Q0D2K0
P40797	Q9NVA2
Q9VVW8	Q8IW45
P05181	O45364
Q20716	Q9ULR0
A1Z850	P08294
O00161	Q9VH76	O09044
O45313	P61601
Q9VQK0	Q8N612
Q60929	H3BNR1
Q9VYT0	O44538
Q9VTX1	Q9BWH6
Q21562	Q9BXJ5
Q9W0Y8	Q14524
Q9V4N3	Q23221	O60427
O08586	Q9HBL0	Q9VRS2	H2L091
Q9VC06	P52888
Q4V5H1	P23284
Q24037	O75081
Q9VLU4	P48595
Q9W501	O44501	P49354
Q9VHU1	O61815	Q9NXZ2
Q9VJD1	G5EC87	P14314
Q22781	P28330
Q9VTZ7	Q8N7A1
O70404	Q9BV40
Q23972	Q5PRF9
Q8IU06	Q9W1Q6	Q9Y216
Q9VN68	G5EEG8	Q7Z6J6
A0A0C4DG38	Q9VJY8	Q9XWJ8
G5ECL1	Q9W461	Q8N4U5
O96824	A0A0C4DGV4
Q9VQ34	Q8NBN3
Q9VAN0	Q9Y617
Q8SYP9	P82675
Q9VK55	O95461
Q9W2C8	P22891
Q9W350	Q6ZUA9
Q9W032	O95905
Q59FJ7	Q9VJC2	Q9NAP8
Q7K304	A0A0A0MRY9
Q24087	Q92889
P52713	Q8SXQ1	P30837
P21521	Q9R0N4	Q19016	P21579
Q9VFE3	G5EDB8
Q9W1H9	Q9BU61
Q9VLU2	P21980
Q6ZQ47	Q6IQ32
Q9VAY8	Q9HBT7
Q9VNR2	Q9NQ11
Q9XWN1	Q8IXM2
Q09387	Q9NUQ9
Q9VIE8	P48200
Q9W1A4	Q9UM82
Q9VLG2	P30085
O08746	Q9NGV4	Q9NL29	Q9HCU4
Q9UAX1	Q8IQG1	Q70IA6
P90820	Q9VC42	Q92626
P25786	P12881	Q27488
O54946	Q9VWL4	Q94216	Q5F1R6
A1Z6M6	O95801
O54918	O43521
P20241-2	P50895
O45268	Q6ZS17
G5EDA6	Q9VUU7	Q9Y5V0
P56381	Q9VXN2	P34539
Q86NX3	Q8N6Q8
Q9VAW5	Q6PKG0
P12080	P06756
P41043	P09211	Q9NAB0
Q8MZI3	Q9BUQ8
Q17962	Q9NRD1
P10090	O15438
Q9W0S9	Q14689
Q18438	O75425
O76725	P10619
Q9VRQ6	Q96MN9
Q9VAG5	Q15751
A1Z7S0	O75165
Q8MXH8	Q8IXQ5
Q10039	P41250
Q16625	O08856	Q9VW51
Q9VCC3	Q96EL2
Q8SWR2	Q6ZP65
Q19989	Q921M4	Q08379
P48451	A0PJX0
H2KYI1	P51812	Q963E5
Q9VKY8	P49903
Q62277	Q8TBG9
O54836	Q9W0R2	Q9H898
Q24212	Q9Y6Q2
O17214	Q9W3X6	P07954
O97182	O15143
Q9VEK6	Q6UXK5
G5EC23	Q8TBB5
Q9W2I2	Q5T6V7
Q9VIK1	Q99805
Q8STI6	Q5QJE6
Q9VFH6	Q5JTW2
Q9VLP6	Q96F63
Q9VLH0	Q22495	Q8NG11
Q86S05	Q5T6F2
Q9VF23	P12532
Q9VZX6	P82673
Q965W3	Q86VU5
Q9NA26	Q9V359	Q9UK41
Q14697	Q7KMM4	Q20239
P26955	P32927
Q9TVP3-2	Q9UKB3
Q4V6B6	Q9Y3M2
P18835	P02452
Q9NYU2	Q09332	Q9GPA0
Q7KK96	Q6P169
Q9VZI8	Q94272
Q9TXS0	A0A0C3SFZ9
Q9VDJ9	Q80U72	Q96QZ7	C1P635
Q7K3D4	Q9UIM3
Q20223	P02689
Q9VH00	Q96BZ8
Q01664	Q9V406	P34474
O76928	Q9BXS5
Q9VYY8	Q9NRA0
Q8N1F7	Q9VFE7	Q9BKT9
Q7JYK2	Q6ZPD8
Q7KRR5	Q96IV0
Q9W2M8	O17839
Q6A078	O15078
O35387	O00165
Q8SX30	Q8N448
Q6NR18	O14939
Q9VS21	Q9BR61
P91913	P08570	P05386
Q9VPI9	Q8NF50
P27512	O95407
P28229	P29033
Q9W1G4	O94967
P34902	Q01344
Q9W1A2	Q5VZE5
Q9VX98	O43583
Q9Y169	Q16394
Q9VK46	Q969M3
Q9VSB2	Q17RB8
P83731	Q9VGN9	O01868
Q9W4V8	Q05D32
Q9VWS1	Q96S59
Q9VDU3	Q6NUN0
Q9R111	Q9VMY9
G5EF34	Q9NZV1
Q8T476	Q86UC2
Q9VT28	Q5DX48	O94915
P34611	O75382
A1ZB08	Q6PF18
Q9JJV2	P35080
Q3UJU9	Q17510	Q96LZ7
A1ZBL2	Q22747
O17731	P21673
Q20332	Q9C0H2
Q9VSV3	Q6UX98
Q9VUY6	Q96KR1
Q09583	P25787
Q99PJ2	Q6NR77
Q80XU3	Q9H1E3
P43125	Q9UKF7
Q9VTB0	Q8IV38
H2KZB2	Q86XL3
Q9XZE4	Q9BV35
Q9W495	Q75T13
Q05913	P35269
P41958	O08734	Q92843
Q9V7A7	O95872
E9Q401	Q5XPI4
A0A131MCZ8	Q6P4Q7
P56672	P78367
O44386	P11215
P40304	P34286
Q8T0I9	P49747
O17645	Q86BJ3	Q9Y2C2
Q91VY9	Q18037	Q9VX08	Q969S3
Q9CWR8	Q9UJW3
Q9VRI9	Q16874
Q9VTI3	P50053
Q7JZ25	O70496	P51788
Q9VQG9	Q99988
Q5U127	Q8IU60
Q9VV58	Q9NRX5
A1Z8L7	Q9ULY5
Q9V9E3	Q5JRX3
Q9VNA3	Q9HCN8
Q8MSD1	Q96AB6
Q9GQQ6	O96018
Q9W2T1	Q6ZNA1
Q9VZN6	P06858
Q6AWJ8	O75096
Q7PL83	Q96I25
Q9V8R9-3	O17905	O94887
Q7YTY6	P50453
Q9BSF8	Q0E8K5	Q21747
Q9VI64	J3QL71
Q06507	Q96AQ3
Q9Z1W9	Q8TDX7	O01427	Q24210
Q9VS38	Q9NPJ6
Q9W023	Q9P0N8
O60806	Q9NA56	Q9VMR2
Q8IH42	Q9Y385
Q03372	Q8N693
Q9VEN1	P12814
Q86DS1	G5EE04	Q8IZP2
Q9VGV3	P27701
Q9VT59	Q86W74
O45819	P46976
Q9XVS2	P52272
Q24253	Q9Z1T1	Q10567
P90841	A2RRP1
P46562	P30838
Q9W3R7	Q99J83	A9UGY9
Q20818	Q86XI2
Q9VY28	P82663
Q9VPT9	Q9Y287
Q7K3P0	P49589
Q9W2J4	Q10941
Q9W0M6	Q9BPX7
Q9VFP9	Q96LA8
Q9D2R6	Q9Y2R0
Q9VJU1	O94813
P62861	Q9VDH8	Q18231
Q9W137	Q96F93
P13709	P21675
P07664	Q06732
Q9VGM2	P51162	Q20224	P15090
Q9VIE6	Q7L590
O45934	Q96G03
Q9VD29	P62330
Q09350	Q9VVC8	Q16204
Q8INU6	P56545
Q9VSC6	Q9XVT1	O95707
Q9VL28	Q15036
Q7TMY8	V6CLA2	Q5GLZ8
Q9W1I9	Q02790
P63168	Q21557	Q96FJ2
O16000	Q9ER00	Q9VR90	O15400
O77283	Q70EL1
Q9I7J0	A4QPB0
Q9VGC3	Q8WTW3
Q9W102	O43929
Q24024	O14979
P26323	P50549
P53566	P49715
Q9VS62	Q9Y276
P54611	Q95X44	P36543
P47985	Q9VQ29	O44512
O97418	O02267	O95182
P34643	Q811L5	O15027
Q19360	Q7KJV6	Q9UBT2
Q1EHW4	Q8TEE9
Q9W5C2	Q15629
Q8MSX0	Q92930
Q9W549	Q8MYM9
Q99MP8	Q9VDD8	Q9Y5T5
P41226	Q9VG70	Q17820
Q24151-2	Q9NAD6	P42225	Q14765
Q15637	Q9VEJ1	Q17339
Q9V4B8	O44191	Q8IV28
Q9V3D9	Q6IAX9
Q9VKM7	Q6NUQ4
Q9U2E4	Q91ZQ5	Q16518
Q9VEF3	Q9Y2P0
Q149L7	Q9BY67
Q23150	P02745
P62141	Q27475	Q9VXF1	O00743
Q9VCJ2	Q8IUQ0
Q6AHR3	Q9VT32
Q9U2K8	Q9VSS1	Q8IUA7
Q9JL25	O15492
Q8R3Q0	Q96BY9
Q18994	Q9W541	Q13144
P34524	Q9NUW4
P04814	P08246
Q8IQN2	P35523
Q8SYC4	O17907	Q9UDX3
Q9VWB7	Q13322
Q9VTP5	Q9H4K1
Q9VMQ6	Q9Y6N1
Q9W2Q5	Q96Q77
Q9W270	Q96BD0
Q9NDR1	Q8NCE2
Q33BL4	Q16825
Q9VCG8	Q9XTR0
G5EFI9	Q8NHY5
Q9VN41	Q9BQ83
Q9VEM0	Q7Z6V5
P53997	P0CV98
Q95TJ6	Q9H6S3
G5EDY0	Q8T9I6	A4QPH2
Q9W474	Q5TB80
Q9VN95	Q9UHY7
Q07113	P11717
G5EDE4	O15234
Q9VMD2	Q12893
O89019	O14974	Q21920
Q8SYZ4	Q9NRC8
Q9VEX5	Q9NVM9
P70434	P10914
O97069	P00966
Q9VQD8	O15511
Q9VCC6	O60488
A1Z823	Q9UI14
Q8SY84	Q96H35
Q9VGW7	Q99873
Q95T61	Q92597
Q9W457	P34896
P83088	P21217
Q15750	Q8CF89	G5EEM6
Q9VRJ9	Q5VVQ6
Q93694	Q6FGJ9
P35438	Q16478
Q20874	Q924T7	P50876
Q9XZ08	Q93063
Q9VVX3	G5ECQ2	Q14332
Q8WR08	Q14118
Q9W1J9	Q19204	O60242
Q21270	Q9Y2V7
Q7JY80	Q9BUD6
Q6I6D4	Q9VR64	Q96AJ1
Q8N3K9	Q70KF4	Q86P21
O97365	Q8N4S1
P13497	Q9VCN5	Q9U3S9
Q9ULP0	Q8IRK7	Q9U283
Q9VMX8	P51124
Q9EQ32	Q9VFH9	Q6ZUJ8
Q7K1J3	P60520
Q8SY46	Q9BW11
O44180	P35236
P11881	Q92736
Q92896	Q9VP27	Q19459
Q9Y366	Q9VMC0	G5EDF6
Q9VS80	Q96IY4
Q60837	P42701
Q23483	Q9BVK8
Q8SY39	Q59F66
Q8SXR7	Q9Y2P5
Q18989	Q8IYK4
Q9VAP2	Q7Z4H7
Q8MRC3	Q8WUQ7
Q94300	P62913
Q9VF13	Q86SQ7
Q9VMA9	O75864
Q9W1H0	P29375
O46052	Q8N0Z2
Q9VUB8	O43768
Q9VX18	O14512
Q9VHW4	O94826
G5EF06	Q9NQX3
Q9GUI5	Q6ULP2
Q9VKV4	Q9NXX6
Q7K4L8	Q9GZR7
Q9VI14	Q95PX7	O75400
Q9VPW4	O00411
P25962	P35367
Q9VL01	P07477
Q9W3C8	P00915
Q22695	Q8TAM4
Q8NI22	Q9VDI5	Q22159
O46084	Q96HS1
Q99LQ1	Q9VBX2	Q9NS73
Q7K2V7	P60033
Q9V574	Q8NB15
Q9VEJ3	A0A0A0MQS1
Q23977	O75676
Q61599	P52565
Q9W4K1	P63010
Q8SYQ6	Q9HBE1
Q9VXK0	Q9BPW8
Q9V492	Q9NR77
O89090	Q93902	Q9VIS9	Q96SK3
Q7KUK9	P98160
Q9VIW7	Q9Y3I0
Q7K3X8	P05187
Q9VJ60	Q6NW29
G5EFB3	O00470
Q94920	Q21752	P45880
Q86P48	Q8TDD2
P24785	Q9H6S0
A0A0K3AV08	P09208	P42681	P35991
P04925	P04156
Q9V420	Q9H7Z7
O77059	Q49AN0
Q9V466	Q19131	P57740
O45551	Q9W5B3	P06730	Q8BMB3
Q9VEA5	O15514
Q9VPP0	Q99808
P91302	Q9BZL1
Q9VV38	Q9H2R5
Q9VXP5	Q5JVL4
P70689	Q9NTQ9
Q9VV51	Q6UWP7
Q9VF51	Q06278
Q18302	Q03692
P17097	Q9VJ55	O45526
Q9W1H3	Q9H1J1
Q9GYU8	Q99567
Q8C161	Q09305	Q9Y312
Q95YA5	O14645
Q9VGG0	O43296
Q9VGP7	Q9NQ50
Q9JM54	Q13794
Q8CFI2	Q969T4	P52485	P35129
Q9V4E0	O75306
Q05516	Q60843	Q9VLK8
Q9VCI7	Q86VV4
Q9VTL9	Q6ZSS7
G5EC63	O15121
O08696	Q6PIV2
Q9XVU8	P62158	P49258
Q9QZM4	O14798
Q9W1T4	P90978	P26368
Q3KN34	Q86VF2
P28231	P36382
Q8MQC5	P17658
Q22970	P37088
P34281	Q5VT52
Q61193	O15211	Q9GR11
P41139	P47928
Q7YZ99	Q9UQ35
Q9V557	Q02928
Q9VXK9	Q9UPV0
Q6MZP7	Q9VMQ3	Q95QD7
Q9BIF4	Q9H223
P15007	P06733
Q17571	Q6P5T0
Q7KN75	Q9Y2W6
Q9VW10	Q9H8H0
Q9Y150	Q7Z628
Q8IGU5	B3KM70
Q9VXL1	G5EFD9	Q9UKQ2
O77264	O00442
Q9VLR8	Q8WWX8
Q9VFR0	Q9P287
Q9VR56	Q7L0Y3
P27699	Q03060
Q9VNX4	P49189
Q9VWA2	P32321
O76828	Q14995
Q09565	P55055
Q9CQ73	Q9Y446
O76523	P62873
Q9VSU8	O94868
O08750	A1ZAC2	Q10587	Q9NAE4
P91573	Q02936	Q14623
Q95RI5	Q21097
P24539	Q94516	Q19126
Q9VZD5	P82932
Q09014	P14598
Q20303	Q9NYP7
Q27333	Q92685
P19109-2	Q7L014
Q8MYZ9	Q9H3S1
O01862	Q14032
Q9QUN3	Q7Z7G1
P27671	Q8IQ95	Q9U364	Q9H8V3
Q9P021	O70333	Q9VL77
Q9VNG7	Q15257
P50553	P90977	P10083
Q22664	P0CG13
Q9VL71	Q05519
O44117	Q02818
H1UBJ9	O95985
Q8IPP2	Q92546
Q9VKW5	P48147
Q9U1W7	Q9VSY6	P78330
Q9V3D6	Q9P2I0
Q20298	Q4V328
O35664	P48551
Q96I99	Q9VHJ8	P53588
G5EFT5	Q03933
Q9I7L9	Q8NCC3
Q6ZQ08	A5YKK6
P82295	O43490
Q9Y166	O43772
Q9VAF5	Q9Y5G9
Q9VCR9	Q9Y394
Q9VEF1	Q9Y2X9
Q9VRG8	Q6P996
G5EBH7	Q9BRK5
P48678	P90900	Q2M2I5
Q9VWS5	Q8TDT2
P26640	Q9NJH0	P54412
P48591	Q03604	P23921
P23528	P45594
Q9V4E1	P98172
Q24400	P50461
O16684	O60858
Q9VCI9	Q9BUX1
Q9VAY9	P82650
Q9Z277	Q95RV8	O45075	Q9UIG0
Q9VA10	O94910
Q9VEG6	P11678
O97428	P62328
Q9W388	Q86V28
P41830	P04150
O08537	Q07869	H2KZA1
O95721	Q9ERB0	Q9W1I8
Q24546	Q8MXU3	P17600
P34631	Q92575
P41894	P61296
Q7KTT0	Q02040
Q8MT60	Q8WU20
Q9W1Q0	G5EDD8
Q9VRE6	Q9Y698
Q9V3P0	Q13162
Q8IRY7-4	P42575
Q9VVS5	Q9UHK0
Q24246-2	O45087	Q09028
O62621	C9JG97
Q9VAJ1	Q15021
Q9VF20	Q8WWZ7
P29617-2	P34522	Q92786
Q9VC20	Q9TYX1	P13798
Q967F1	Q9VZS3	O60739
Q61160	Q13158
Q9GYV9	Q95Q17	O43513
Q8MKW7	Q9BQ52
P91866	P49327
P27619	P39055	Q8K1M6	Q05193
Q9Y109	Q9BQ70
A1ZAK7	Q92945
G5EBG0	Q8N7B1
O62126	Q9VX39	Q96HV5
Q8SX49	P00747
Q0KHR7	Q8IYM1
Q9VGA4	F8W9L8
Q8TB93	D3KFW7
Q91VR8	Q8WUW1
Q7JWP5	P41732
Q24339	Q6ZVH7
Q9VBK9	Q52LJ0
O02328	B5ME19
P18490	Q96RV3
P52872	P61803
Q9VPR6	Q93644	Q9UHH9
Q9VJE4	Q9Y2S0
Q18183	Q5THJ4
Q9VZW3	Q5TKA1
Q8R0W6	Q9BT67
Q9VVD2	Q9Y4G6
Q9Y4Z0	Q9VKW8	Q19952
Q8TAU3	Q99LI5	G5EGB2	Q9VDZ3
Q9VTL4	P55786
Q9V3G3	F5H284
Q9EQY0	Q9VHF6	G5ECH7	Q15131
Q9VRC5	Q09384	O60927
P06606	Q9NY65
Q7KTX8	Q93442	Q9UHV7
Q8T0U6	K8FE09	P48454
Q9VIX4	Q99424
Q9VYE3	Q09252	Q9H0G5
Q9Y4Y9	Q9VRT7	O18694
Q9GZT4	Q9VHF0	Q93968
Q9VD07	O60287
Q8IP72	O75569
Q95RR1	O00244
Q9BQS8	O70161	O96838
P00441	Q95T42	P34697
Q8VE62	Q7K581	Q9H074
Q9XYZ6	V9HWF5
Q9VFH8	A1L162
Q9VQG4	G3MU69	P12236
Q9VWS3	Q6WKZ4
O08543	P52798
Q20049	A1ZAD2	P50213
Q9XWW1	Q15005
Q95Y84	Q96FA6
O76511	Q53Y97
Q9Z1N5	Q9VDA0	O44781	P38919
O77135	O15315
Q61644	Q09989	Q9UNF0
A5A8Q6	Q8MRU2	P70338	Q9BS34
Q8SWS1	P42892
Q15008	Q9V3G7	Q20585
Q9CPR7	Q9VM65	Q9BRV8
Q9W1C5	Q8N201
P13582	Q9H3S3
Q9NF14	Q96NJ5
P35820	P35226
O44490	O15083
Q80Z64	P56407	Q969G2	Q9W1H7
Q80UY2	Q9VJW5	Q96EQ8
Q8STF6	Q49AR9
P37165	Q96C32
Q7K4B2	Q6RFH5
Q9W0M9	P60660
Q7K209	Q9Y315
P27091	O95972
Q961N3	Q14114
Q22054	Q8SXF0	P82933
Q7JYH3	Q86Y39
Q8R081	Q8T0H5	P26599
P48810	Q8N6W0
Q4KL25	Q86UP9
P17205	Q9Y5K2
Q18480	Q01955
Q9VY21	Q13064
Q8BQ30	Q6NYC8
Q9R1Q7	Q96FZ5
Q4V6X9	A0A087WT08
Q8CFE3	P91437	Q9BTC8
Q7JR83	Q05469
Q02280	O95259
Q9W135	Q95YE2	Q9P2P1
P91561	Q8N5Z5
Q19713	Q9NSD9
Q95QQ9	Q9P2B4
P00967	P22102
Q20100	Q9Y296
Q7YZ98	Q9BQ39
Q9VES4	Q96M63
Q9UN79	Q9VA17	Q8T3B9
P42279	P00749
O45315	P62508
Q7KT70	Q9XTG1
Q8MYL1	Q9BXW9
Q9VEV6	Q9H6L4
A1ZAW3	Q8N103
Q8C0C0	Q9H4I2
Q24591	O75093
A1Z9Z1	Q8N302
P07665	Q53GI3
Q9VAF4	Q9H9L4
Q7JVK1	P34378
O17624	Q9VE00	Q9HBI6
Q868J0	O75179
Q9N415	Q9VF66	O95153
Q09491	Q15738
P27716	Q23593
P04197	P10242
Q60819	Q13261
Q9VJD2	O88653	Q9UHA4
Q9EQ14	Q9NPF7
Q9VMA2	P07902
Q0KIA2	H2KZ15
P49841	Q2PJ68	Q24496
Q9VKR4	H0Y695
Q22947	Q9H310
Q8MQQ3	A1L1C6
G5EBG6	Q9U1H5	P35716
Q9VHY5	Q5H9L4
P90867	Q9UEE9
P34652	Q53G71
O95817	Q8CI32	Q9VU81
P62277	Q03334	P51404
Q0E9E0	Q9H3U7
Q9VTZ4	O95394
P54728	Q23451	P54727
Q8STA5	Q9D0S9	P49773
Q13564	Q18217	Q7KJV5
O55242	Q99720
Q8ST61	Q01658
Q22640	Q24337	P84090
Q9U1X6	Q9P0I2
P21520	P02671
G5ED89	Q86YP4
Q9VTC2	Q9NUP1
P90835	P30046
Q9W2M2	G5EG96
P34696	V9HW27
Q9H936	Q9VZ94	P91270
Q9VCR2	Q03154
Q9W4A0	Q9NP72
O55029	Q9VLN1	Q5TAQ9
A1Z8D5	Q8NBZ0
Q9V813	P00491
Q8T051	O43623
Q9VFS6	Q6P9B9
Q961D3	Q9UNQ0
Q9VKK1	Q8ITV6	Q6P2E9
Q8T8S1	Q9U3C8	Q96GG9
P34460	P24534
Q9Z2I2	Q9VGK3	Q0VDC6
P26039	Q9VZI3	Q86UX7
P25991	Q12996
Q9VQ25	Q96AG4
Q94546	Q8WVC0
Q99941	Q7K2V1
Q9Y0I1	A7DTF0	Q15014
Q9VMT4	Q8N5T2
Q9W5W4	Q13409
Q9VRX6	O01634
P25171	O75592
P28518	P23025
P98163	P07204
Q9VSI6	P48735
Q8VIM0	Q96D42
Q9VTH0	O00469
Q7YU81	Q96JM2
Q9VWC3	G5EFA9
Q6ZQ88	O60341	P18487	Q9XWP6
Q9W2F2	Q9Y4B6
P91988	Q96CD2
P90781	O75828
Q9VHC5	Q15652
Q9VBK0	Q92911
Q9U299	Q9VWI1	Q9H0D6
P22265	Q9NRE2
Q9VEV5	Q3KRB4
O01512	Q14CZ0
Q9VKG1	O94769
Q9VEV2	P29474
Q21372	P13631
Q64287	P14316
Q62420	Q7Z6J0
Q8R409	Q9VFH2	O94992
P51170	Q86LG1	P91835
Q9V412	Q9H5V9
Q17941	Q8IGZ0	P31749	P31750
G5EGK8	O14829
Q9VD92	Q8IWT0
Q8MS83	Q14204
A1ZAC0	P02787
Q76LL6	Q9VUC6	Q9TYU9	Q6ZN96
Q62468	Q9Y6U3
Q91WK7	Q7KTP7	P53355
Q8IH06	G5EFF1	O75525
Q7KN61	P14324
Q9VJQ4	O43148
Q9VPV7	O15069
Q9N5G3	Q9U1L2	Q9NUI1
Q9VUM2	P60602
Q9W2E4	Q9H3S5
Q7KIN0	Q96RT1
Q6P9H4	Q7KNQ9	G5EEW9
Q20676	P05166
Q8BP47	Q9V434	O43776
Q8IN94	Q8NFD5
Q793I8	Q96CG3
Q9NRZ5	Q9VV49	Q23087
Q61147	P00451
Q18991	Q9H0Y0
Q5XJY4	A1Z8R8
P49817	P56539
Q19467	Q96P47
Q9VHI7	Q9P0P0
Q9VGE4	P34562	Q99666
Q93934	Q86NZ5	P55263
O02005	Q9UHN1
Q8N2M8	Q9VC54	Q19854
Q9XZ03	O60869
Q9VBA3	Q9UIQ6
P47991	Q9V9W2	Q02878
Q9W427	Q24JP5
O01616	P16662
G5EEA1	P53667	Q8IR79	Q99N57
Q9VP61	Q86V21
Q9VLT3	P0C0L4
P06876	Q99459
Q23045	Q24533	P56693
Q9VPQ5	Q9GZV8
Q63943	P11831
Q9VCC9	Q86WV8
A1Z8Q7	Q8NEM0
Q9VKM2	Q92558	Q9XVK6
P42003	Q8BUN5	Q15797
Q9VB71	Q5T655
Q05856	P14678
Q8R0T2	O43298	Q20709	Q9VHM5
Q9XXG5	O14656
Q9VRS6	P05981
Q01071	Q9BYE0
Q18501	Q6FGM0
Q16768	P07486	P17330
Q7K3S2	P49902
P25455	Q4KWH8
Q9TZA7	Q8T0F7	Q4G0X4
G5EG44	Q14582
Q20005	Q8IVP1
Q9VXA9	Q5HYI8
Q9VIH0	P78549
Q9VAW3	Q19699	Q06210
Q9VYW2	Q9HBZ2
Q62158	Q8WV44
Q21997	Q9GZP9
Q9VYF0	O95865
P03949	Q8INB9	Q05397	P34152
Q5U0W6	Q93052
Q61491	Q6ZNH5	Q22024	Q9VHA4
Q21529	Q9W2L9	Q9NYG8
P48432	Q9V480	P35713
Q3LHL9	Q9P281
Q7JYZ9	P0CG30
Q9VX56	Q9H6K1
Q9VNU1	Q19403	O43688
O14966	Q9V3I2
Q9VVH5	O14949
Q61207	Q9Y125	D6W5L6
P32020	Q9NIU5	O45552	P24752
Q9XWS2	Q9VNH6	Q96A65
P32883	P61587	Q6NN22	G5EBK8
Q9VIZ9	Q9Y600
O16520	Q9VPH7	P62495
Q9VKW2	Q9BWX1
P39053	O00429	Q9VQE0
Q9V5Z7	P55064
Q9VHG1	Q9H269
Q9Y194	Q9V7Y2	O95470
Q9HAT8	Q8BST6	O77237
Q20628	P32320
Q9W590	Q9BVP2
Q9VJ75	Q9UHW9
Q10667	O76876	Q9BQ04
P27641	Q9NGX6	Q21829	P13010
O88665	Q9H8M2
P33552	Q9VHN1	Q17868
Q24318	Q22703	Q14186
A1Z9I6	Q96BH1
